timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1646609320501,29,gateway health Request,200,,Health Check 4-1,text,true,,250,145,1,13,http://192.168.49.2:30005/actuator/health?all=True,27,0,18
1646609320501,44,getAllHistory Request,200,,getAllHistory 3-4,text,true,,263,205,10,13,http://192.168.49.2:30005/getLogs?all=True,44,0,18
1646609320501,44,getAllHistory Request,200,,getAllHistory 3-1,text,true,,263,205,10,13,http://192.168.49.2:30005/getLogs?all=True,44,0,18
1646609320501,44,getAllHistory Request,200,,getAllHistory 3-10,text,true,,263,205,10,13,http://192.168.49.2:30005/getLogs?all=True,44,0,18
1646609320501,44,getAllHistory Request,200,,getAllHistory 3-7,text,true,,263,205,10,13,http://192.168.49.2:30005/getLogs?all=True,44,0,18
1646609320501,38,getData Request,200,,getData 1-1,text,true,,307,373,1,13,http://192.168.49.2:30005/data,38,0,18
1646609320501,130,getAllHistory Request,200,,getAllHistory 3-2,text,true,,263,205,10,13,http://192.168.49.2:30005/getLogs?all=True,130,0,18
1646609320501,130,getAllHistory Request,200,,getAllHistory 3-6,text,true,,263,205,10,13,http://192.168.49.2:30005/getLogs?all=True,130,0,18
1646609320501,134,getAllHistory Request,200,,getAllHistory 3-5,text,true,,263,205,10,13,http://192.168.49.2:30005/getLogs?all=True,134,0,18
1646609320501,135,getAllHistory Request,200,,getAllHistory 3-3,text,true,,263,205,10,13,http://192.168.49.2:30005/getLogs?all=True,135,0,18
1646609320501,139,getHistory Request,200,,getHistory 2-1,text,true,,263,196,1,13,http://192.168.49.2:30005/getLogs,135,0,18
1646609320501,140,getAllHistory Request,200,,getAllHistory 3-8,text,true,,263,205,10,13,http://192.168.49.2:30005/getLogs?all=True,137,0,18
1646609320501,145,getAllHistory Request,200,,getAllHistory 3-9,text,true,,263,205,10,13,http://192.168.49.2:30005/getLogs?all=True,145,0,18
1646609321416,19,getData Request,200,,getData 1-2,text,true,,307,373,2,15,http://192.168.49.2:30005/data,19,0,1
1646609321422,18,getStatus Request,200,,getData 1-1,text,true,,255,236,2,15,http://192.168.49.2:30005/status?id=de6cd693-493e-46ca-a607-3724dfbd64b1,18,0,0
1646609321426,23,getHistory Request,200,,getHistory 2-2,text,true,,2431,196,2,15,http://192.168.49.2:30005/getLogs,23,0,1
1646609321424,25,getHistory Request,200,,getHistory 2-1,text,true,,2431,196,2,15,http://192.168.49.2:30005/getLogs,25,0,0
1646609322415,11,getData Request,200,,getData 1-3,text,true,,307,373,3,17,http://192.168.49.2:30005/data,11,0,1
1646609322424,17,getHistory Request,200,,getHistory 2-3,text,true,,2825,196,3,17,http://192.168.49.2:30005/getLogs,17,0,0
1646609323415,14,getStatus Request,200,,getData 1-2,text,true,,255,236,4,19,http://192.168.49.2:30005/status?id=96f923c4-9457-4014-9bc0-a18866c1d75c,14,0,0
1646609323417,14,getData Request,200,,getData 1-4,text,true,,307,373,4,19,http://192.168.49.2:30005/data,13,0,1
1646609323421,10,getData Request,200,,getData 1-1,text,true,,307,373,4,19,http://192.168.49.2:30005/data,10,0,0
1646609323432,8,registry health Request,200,,Health Check 4-1,text,true,,250,145,1,19,http://192.168.49.2:30001/actuator/health?all=True,7,0,1
1646609323425,104,getHistory Request,200,,getHistory 2-2,text,true,,3022,196,4,19,http://192.168.49.2:30005/getLogs,104,0,0
1646609323424,106,getHistory Request,200,,getHistory 2-1,text,true,,3022,196,4,19,http://192.168.49.2:30005/getLogs,105,0,0
1646609323425,105,getHistory Request,200,,getHistory 2-4,text,true,,3022,196,4,19,http://192.168.49.2:30005/getLogs,104,0,0
1646609324413,9,getData Request,200,,getData 1-5,text,true,,307,373,5,20,http://192.168.49.2:30005/data,9,0,0
1646609324424,13,getHistory Request,200,,getHistory 2-5,text,true,,3613,196,5,21,http://192.168.49.2:30005/getLogs,13,0,0
1646609325414,6,getStatus Request,200,,getData 1-3,text,true,,255,236,6,22,http://192.168.49.2:30005/status?id=81f6772e-7c63-4fb7-8b46-023b9d20927c,6,0,0
1646609325414,7,getData Request,200,,getData 1-6,text,true,,307,373,6,22,http://192.168.49.2:30005/data,7,0,1
1646609325423,14,getHistory Request,200,,getHistory 2-6,text,true,,3810,196,6,23,http://192.168.49.2:30005/getLogs,13,0,1
1646609325422,15,getHistory Request,200,,getHistory 2-3,text,true,,3810,196,6,23,http://192.168.49.2:30005/getLogs,14,0,0
