timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1646614184583,29,gateway health Request,200,,Health Check 4-1,text,true,,250,145,1,23,http://192.168.49.2:30005/actuator/health?all=True,27,0,19
1646614184583,652,getData Request,200,,getData 1-1,text,true,,307,373,3,27,http://192.168.49.2:30005/data,652,0,19
1646614184747,482,getData Request,200,,getData 1-2,text,true,,307,373,3,27,http://192.168.49.2:30005/data,482,0,1
1646614184999,631,getData Request,200,,getData 1-3,text,true,,307,373,5,31,http://192.168.49.2:30005/data,630,0,2
1646614185247,490,getData Request,200,,getData 1-4,text,true,,307,373,5,31,http://192.168.49.2:30005/data,490,0,1
1646614185497,343,getData Request,200,,getData 1-5,text,true,,307,373,6,33,http://192.168.49.2:30005/data,343,0,2
1646614185747,188,getData Request,200,,getData 1-6,text,true,,307,373,6,33,http://192.168.49.2:30005/data,188,0,1
1646614185997,136,getData Request,200,,getData 1-7,text,true,,307,373,7,35,http://192.168.49.2:30005/data,136,0,1
1646614185274,866,registry health Request,200,,Health Check 4-1,text,true,,250,145,1,35,http://192.168.49.2:30001/actuator/health?all=True,866,0,0
1646614186141,1,gateway health Request,200,,Health Check 4-1,text,true,,250,145,1,35,http://192.168.49.2:30005/actuator/health?all=True,1,0,0
1646614185514,736,getHistory Request,200,,getHistory 2-5,text,true,,263,196,7,36,http://192.168.49.2:30005/getLogs,735,0,1
1646614184583,1667,getAllHistory Request,200,,getAllHistory 3-3,text,true,,263,205,20,36,http://192.168.49.2:30005/getLogs?all=True,1666,0,19
1646614184583,1668,getAllHistory Request,200,,getAllHistory 3-11,text,true,,263,205,20,36,http://192.168.49.2:30005/getLogs?all=True,1668,0,19
1646614184583,1668,getAllHistory Request,200,,getAllHistory 3-18,text,true,,263,205,20,36,http://192.168.49.2:30005/getLogs?all=True,1667,0,19
1646614185262,989,getHistory Request,200,,getHistory 2-4,text,true,,263,196,7,36,http://192.168.49.2:30005/getLogs,989,0,1
1646614184583,1668,getAllHistory Request,200,,getAllHistory 3-5,text,true,,263,205,20,36,http://192.168.49.2:30005/getLogs?all=True,1668,0,19
1646614184583,1668,getAllHistory Request,200,,getAllHistory 3-12,text,true,,263,205,20,36,http://192.168.49.2:30005/getLogs?all=True,1668,0,19
1646614185632,697,getStatus Request,200,,getData 1-3,text,true,,255,236,8,37,http://192.168.49.2:30005/status?id=31683acb-c643-4f6a-a784-c351b72dbe1c,696,0,0
1646614184583,1748,getAllHistory Request,200,,getAllHistory 3-8,text,true,,263,205,20,37,http://192.168.49.2:30005/getLogs?all=True,1747,0,19
1646614186013,319,getHistory Request,200,,getHistory 2-7,text,true,,263,196,8,37,http://192.168.49.2:30005/getLogs,318,0,1
1646614185014,1319,getHistory Request,200,,getHistory 2-3,text,true,,263,196,8,37,http://192.168.49.2:30005/getLogs,1318,0,2
1646614185276,1059,getStatus Request,200,,getData 1-2,text,true,,255,236,8,37,http://192.168.49.2:30005/status?id=118b8f01-71bc-4b25-b227-ee63120aae1b,1059,0,0
1646614185276,1157,getStatus Request,200,,getData 1-1,text,true,,255,236,8,37,http://192.168.49.2:30005/status?id=bd3cf064-4dc7-4a3d-a839-0d0e39518727,1156,0,0
1646614184583,1851,getAllHistory Request,200,,getAllHistory 3-17,text,true,,263,205,20,37,http://192.168.49.2:30005/getLogs?all=True,1747,0,19
1646614184583,1852,getAllHistory Request,200,,getAllHistory 3-9,text,true,,263,205,20,37,http://192.168.49.2:30005/getLogs?all=True,1751,0,19
1646614184583,1852,getAllHistory Request,200,,getAllHistory 3-6,text,true,,263,205,20,37,http://192.168.49.2:30005/getLogs?all=True,1751,0,19
1646614184583,1854,getAllHistory Request,200,,getAllHistory 3-4,text,true,,263,205,20,37,http://192.168.49.2:30005/getLogs?all=True,1854,0,19
1646614184583,1855,getHistory Request,200,,getHistory 2-1,text,true,,263,196,8,37,http://192.168.49.2:30005/getLogs,1854,0,19
