timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1646684420743,108,HTTP Request,200,OK,Thread Group 1-22,text,true,,664,249,151,153,http://localhost:8001/forecast/,97,0,89
1646684420743,97,HTTP Request-0,301,Moved Permanently,Thread Group 1-22,text,true,,295,124,151,153,http://localhost:8001/forecast,97,0,89
1646684420844,7,HTTP Request-1,200,OK,Thread Group 1-22,text,true,,369,125,151,153,http://localhost:8001/forecast/,7,0,0
1646684420747,106,HTTP Request,200,OK,Thread Group 1-48,text,true,,664,249,153,153,http://localhost:8001/forecast/,91,0,81
1646684420747,92,HTTP Request-0,301,Moved Permanently,Thread Group 1-48,text,true,,295,124,153,153,http://localhost:8001/forecast,91,0,81
1646684420844,9,HTTP Request-1,200,OK,Thread Group 1-48,text,true,,369,125,153,153,http://localhost:8001/forecast/,9,0,0
1646684420775,80,HTTP Request,200,OK,Thread Group 1-80,text,true,,663,249,155,155,http://localhost:8001/forecast/,66,0,52
1646684420775,66,HTTP Request-0,301,Moved Permanently,Thread Group 1-80,text,true,,295,124,155,155,http://localhost:8001/forecast,66,0,52
1646684420842,13,HTTP Request-1,200,OK,Thread Group 1-80,text,true,,368,125,155,155,http://localhost:8001/forecast/,13,0,0
1646684420776,80,HTTP Request,200,OK,Thread Group 1-85,text,true,,675,249,157,157,http://localhost:8001/forecast/,66,0,52
1646684420776,66,HTTP Request-0,301,Moved Permanently,Thread Group 1-85,text,true,,295,124,157,157,http://localhost:8001/forecast,66,0,52
1646684420844,12,HTTP Request-1,200,OK,Thread Group 1-85,text,true,,380,125,157,157,http://localhost:8001/forecast/,12,0,0
1646684420742,115,HTTP Request,200,OK,Thread Group 1-17,text,true,,665,249,159,159,http://localhost:8001/forecast/,98,0,90
1646684420742,98,HTTP Request-0,301,Moved Permanently,Thread Group 1-17,text,true,,295,124,159,159,http://localhost:8001/forecast,98,0,90
1646684420843,14,HTTP Request-1,200,OK,Thread Group 1-17,text,true,,370,125,159,159,http://localhost:8001/forecast/,14,0,0
1646684420748,110,HTTP Request,200,OK,Thread Group 1-57,text,true,,664,249,160,160,http://localhost:8001/forecast/,93,0,84
