timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1646406988699,4469,getdata_request,200,OK,gateway_req 1-1,text,true,,692,449,3,3,http://localhost:8000/getdata/?year=2000&month=03&day=31&starttime=17&endtime=19&radar=KABR&id=7a2b4308-bdcc-4d90-b818-71a15857ab39,27,0,11
1646406988699,29,getdata_request-0,301,Moved Permanently,gateway_req 1-1,text,true,,395,224,3,3,http://localhost:8000/getdata?year=2000&month=03&day=31&starttime=17&endtime=19&radar=KABR&id=7a2b4308-bdcc-4d90-b818-71a15857ab39,27,0,11
1646406988728,4440,getdata_request-1,200,OK,gateway_req 1-1,text,true,,297,225,3,3,http://localhost:8000/getdata/?year=2000&month=03&day=31&starttime=17&endtime=19&radar=KABR&id=7a2b4308-bdcc-4d90-b818-71a15857ab39,4440,0,0
1646406993173,48,getimage_request,500,Internal Server Error,gateway_req 1-1,text,false,,746,349,3,3,http://localhost:8000/getimage/?filename=7a2b4308-bdcc-4d90-b818-71a15857ab39.png,3,0,0
1646406993173,3,getimage_request-0,301,Moved Permanently,gateway_req 1-1,text,true,,345,174,3,3,http://localhost:8000/getimage?filename=7a2b4308-bdcc-4d90-b818-71a15857ab39.png,3,0,0
1646406993176,45,getimage_request-1,500,Internal Server Error,gateway_req 1-1,text,false,,401,175,3,3,http://localhost:8000/getimage/?filename=7a2b4308-bdcc-4d90-b818-71a15857ab39.png,45,0,0
1646406990658,2593,getdata_request,200,OK,gateway_req 1-2,text,true,,692,449,2,2,http://localhost:8000/getdata/?year=2000&month=03&day=31&starttime=17&endtime=19&radar=KABR&id=9f20f630-5724-4252-894a-9187b4cdb819,8,0,1
1646406990658,8,getdata_request-0,301,Moved Permanently,gateway_req 1-2,text,true,,395,224,2,2,http://localhost:8000/getdata?year=2000&month=03&day=31&starttime=17&endtime=19&radar=KABR&id=9f20f630-5724-4252-894a-9187b4cdb819,8,0,1
1646406990666,2585,getdata_request-1,200,OK,gateway_req 1-2,text,true,,297,225,2,2,http://localhost:8000/getdata/?year=2000&month=03&day=31&starttime=17&endtime=19&radar=KABR&id=9f20f630-5724-4252-894a-9187b4cdb819,2585,0,0
1646406993252,5,getimage_request,500,Internal Server Error,gateway_req 1-2,text,false,,746,349,2,2,http://localhost:8000/getimage/?filename=9f20f630-5724-4252-894a-9187b4cdb819.png,3,0,0
1646406993252,3,getimage_request-0,301,Moved Permanently,gateway_req 1-2,text,true,,345,174,2,2,http://localhost:8000/getimage?filename=9f20f630-5724-4252-894a-9187b4cdb819.png,3,0,0
1646406993255,2,getimage_request-1,500,Internal Server Error,gateway_req 1-2,text,false,,401,175,2,2,http://localhost:8000/getimage/?filename=9f20f630-5724-4252-894a-9187b4cdb819.png,2,0,0
1646406992657,2735,getdata_request,200,OK,gateway_req 1-3,text,true,,721,449,2,2,http://localhost:8000/getdata/?year=2000&month=03&day=31&starttime=17&endtime=19&radar=KABR&id=5dafb4bb-b144-4634-8a7e-eb4193cad5b0,5,0,1
1646406992657,5,getdata_request-0,301,Moved Permanently,gateway_req 1-3,text,true,,395,224,2,2,http://localhost:8000/getdata?year=2000&month=03&day=31&starttime=17&endtime=19&radar=KABR&id=5dafb4bb-b144-4634-8a7e-eb4193cad5b0,5,0,1
1646406992662,2730,getdata_request-1,200,OK,gateway_req 1-3,text,true,,326,225,2,2,http://localhost:8000/getdata/?year=2000&month=03&day=31&starttime=17&endtime=19&radar=KABR&id=5dafb4bb-b144-4634-8a7e-eb4193cad5b0,2730,0,0
1646406995392,18,getimage_request,200,OK,gateway_req 1-3,bin,true,,302080,349,2,2,http://localhost:8000/getimage/?filename=5dafb4bb-b144-4634-8a7e-eb4193cad5b0.png,2,0,0
1646406995392,2,getimage_request-0,301,Moved Permanently,gateway_req 1-3,text,true,,345,174,2,2,http://localhost:8000/getimage?filename=5dafb4bb-b144-4634-8a7e-eb4193cad5b0.png,2,0,0
1646406995394,16,getimage_request-1,200,OK,gateway_req 1-3,bin,true,,301735,175,2,2,http://localhost:8000/getimage/?filename=5dafb4bb-b144-4634-8a7e-eb4193cad5b0.png,3,0,0
1646406994654,3039,getdata_request,200,OK,gateway_req 1-4,text,true,,721,449,2,2,http://localhost:8000/getdata/?year=2000&month=03&day=31&starttime=17&endtime=19&radar=KABR&id=aa40c18e-8763-4557-a1f8-f3528b878cd5,94,0,2
1646406994654,94,getdata_request-0,301,Moved Permanently,gateway_req 1-4,text,true,,395,224,2,2,http://localhost:8000/getdata?year=2000&month=03&day=31&starttime=17&endtime=19&radar=KABR&id=aa40c18e-8763-4557-a1f8-f3528b878cd5,94,0,2
1646406994748,2945,getdata_request-1,200,OK,gateway_req 1-4,text,true,,326,225,2,2,http://localhost:8000/getdata/?year=2000&month=03&day=31&starttime=17&endtime=19&radar=KABR&id=aa40c18e-8763-4557-a1f8-f3528b878cd5,2945,0,0
1646406997694,13,getimage_request,200,OK,gateway_req 1-4,bin,true,,302080,349,2,2,http://localhost:8000/getimage/?filename=aa40c18e-8763-4557-a1f8-f3528b878cd5.png,2,0,0
1646406997694,2,getimage_request-0,301,Moved Permanently,gateway_req 1-4,text,true,,345,174,2,2,http://localhost:8000/getimage?filename=aa40c18e-8763-4557-a1f8-f3528b878cd5.png,2,0,0
1646406997696,11,getimage_request-1,200,OK,gateway_req 1-4,bin,true,,301735,175,2,2,http://localhost:8000/getimage/?filename=aa40c18e-8763-4557-a1f8-f3528b878cd5.png,3,0,0
1646406996663,3177,getdata_request,200,OK,gateway_req 1-5,text,true,,721,449,2,2,http://localhost:8000/getdata/?year=2000&month=03&day=31&starttime=17&endtime=19&radar=KABR&id=a37073c9-5a9a-427f-8fe9-d6a79b362008,6,0,1
1646406996663,6,getdata_request-0,301,Moved Permanently,gateway_req 1-5,text,true,,395,224,2,2,http://localhost:8000/getdata?year=2000&month=03&day=31&starttime=17&endtime=19&radar=KABR&id=a37073c9-5a9a-427f-8fe9-d6a79b362008,6,0,1
1646406996670,3170,getdata_request-1,200,OK,gateway_req 1-5,text,true,,326,225,2,2,http://localhost:8000/getdata/?year=2000&month=03&day=31&starttime=17&endtime=19&radar=KABR&id=a37073c9-5a9a-427f-8fe9-d6a79b362008,3170,0,0
1646406999840,11,getimage_request,200,OK,gateway_req 1-5,bin,true,,302080,349,2,2,http://localhost:8000/getimage/?filename=a37073c9-5a9a-427f-8fe9-d6a79b362008.png,2,0,0
1646406999840,2,getimage_request-0,301,Moved Permanently,gateway_req 1-5,text,true,,345,174,2,2,http://localhost:8000/getimage?filename=a37073c9-5a9a-427f-8fe9-d6a79b362008.png,2,0,0
1646406999843,8,getimage_request-1,200,OK,gateway_req 1-5,bin,true,,301735,175,2,2,http://localhost:8000/getimage/?filename=a37073c9-5a9a-427f-8fe9-d6a79b362008.png,2,0,0
1646406998654,3685,getdata_request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:8000 failed to respond,gateway_req 1-6,text,false,,2953,224,2,2,http://localhost:8000/getdata/?year=2000&month=03&day=31&starttime=17&endtime=19&radar=KABR&id=38ca1f6b-f401-4ff1-8e19-74b7e12831ee,9,0,1
1646407000651,1688,getdata_request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:8000 failed to respond,gateway_req 1-7,text,false,,2953,224,2,2,http://localhost:8000/getdata/?year=2000&month=03&day=31&starttime=17&endtime=19&radar=KABR&id=a8f198c4-8cce-48eb-9427-c4999c84706b,5,0,1
1646406998654,9,getdata_request-0,301,Moved Permanently,gateway_req 1-6,text,true,,395,224,2,2,http://localhost:8000/getdata?year=2000&month=03&day=31&starttime=17&endtime=19&radar=KABR&id=38ca1f6b-f401-4ff1-8e19-74b7e12831ee,9,0,1
1646407000651,5,getdata_request-0,301,Moved Permanently,gateway_req 1-7,text,true,,395,224,2,2,http://localhost:8000/getdata?year=2000&month=03&day=31&starttime=17&endtime=19&radar=KABR&id=a8f198c4-8cce-48eb-9427-c4999c84706b,5,0,1
1646406998663,3676,getdata_request-1,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:8000 failed to respond,gateway_req 1-6,text,false,,2558,0,2,2,http://localhost:8000/getdata/?year=2000&month=03&day=31&starttime=17&endtime=19&radar=KABR&id=38ca1f6b-f401-4ff1-8e19-74b7e12831ee,0,0,0
1646407000656,1683,getdata_request-1,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:8000 failed to respond,gateway_req 1-7,text,false,,2558,0,2,2,http://localhost:8000/getdata/?year=2000&month=03&day=31&starttime=17&endtime=19&radar=KABR&id=a8f198c4-8cce-48eb-9427-c4999c84706b,0,0,0
1646407002344,5,getimage_request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:8000 failed to respond,gateway_req 1-7,text,false,,2067,0,2,2,http://localhost:8000/getimage?filename=a8f198c4-8cce-48eb-9427-c4999c84706b.png,0,0,2
1646407002344,5,getimage_request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:8000 failed to respond,gateway_req 1-6,text,false,,2067,0,2,2,http://localhost:8000/getimage?filename=38ca1f6b-f401-4ff1-8e19-74b7e12831ee.png,0,0,2
1646407002655,3,getdata_request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:8000 failed to respond,gateway_req 1-8,text,false,,2067,0,1,1,http://localhost:8000/getdata?year=2000&month=03&day=31&starttime=17&endtime=19&radar=KABR&id=e5447619-5c65-4513-a135-a206c9e02240,0,0,2
1646407002659,2,getimage_request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:8000 failed to respond,gateway_req 1-8,text,false,,2067,0,1,1,http://localhost:8000/getimage?filename=e5447619-5c65-4513-a135-a206c9e02240.png,0,0,1
1646407004653,3,getdata_request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8000 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused",gateway_req 1-9,text,false,,2581,0,1,1,http://localhost:8000/getdata?year=2000&month=03&day=31&starttime=17&endtime=19&radar=KABR&id=88e3490d-6e2d-4a11-87f7-cab44109360b,0,0,3
