timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1646471900443,38,addAppLog Request,200,,addAppLog 4-1,text,true,,240,416,1,4,http://localhost:8080/addAppLog,35,0,19
1646471900443,41,getUser Http Request,200,,getUser 3-1,text,true,,275,137,1,4,http://localhost:8080/getUser?userId=user4,41,0,19
1646471900484,5,addAppLog Request,200,,addAppLog 4-1,text,true,,240,416,1,4,http://localhost:8080/addAppLog,5,0,0
1646471900443,94,getAppLog Request,200,,getAppLog 2-1,text,true,,174,139,1,4,http://localhost:8080/getAppLog?userId=user7,94,0,19
1646471900539,3,getAppLog Request,200,,getAppLog 2-1,text,true,,174,139,1,4,http://localhost:8080/getAppLog?userId=user9,3,0,0
1646471900544,4,addAppLog Request,200,,addAppLog 4-1,text,true,,240,416,1,4,http://localhost:8080/addAppLog,4,0,0
1646471900443,139,getAllUsers Request,200,,getAllUsers 1-1,text,true,,1102,125,1,4,http://localhost:8080/getUsers,139,0,19
1646471900583,4,getAllUsers Request,200,,getAllUsers 1-1,text,true,,1102,125,1,4,http://localhost:8080/getUsers,4,0,0
1646471900605,4,addAppLog Request,200,,addAppLog 4-1,text,true,,240,416,1,4,http://localhost:8080/addAppLog,4,0,0
1646471900659,3,getAppLog Request,200,,getAppLog 2-1,text,true,,174,139,1,4,http://localhost:8080/getAppLog?userId=user4,3,0,0
1646471900664,3,addAppLog Request,200,,addAppLog 4-1,text,true,,240,416,1,4,http://localhost:8080/addAppLog,3,0,0
1646471900678,3,getUser Http Request,200,,getUser 3-1,text,true,,275,137,1,4,http://localhost:8080/getUser?userId=user2,3,0,0
1646471900725,3,addAppLog Request,200,,addAppLog 4-1,text,true,,240,416,1,4,http://localhost:8080/addAppLog,3,0,0
1646471900778,7,getAppLog Request,200,,getAppLog 2-1,text,true,,545,139,1,4,http://localhost:8080/getAppLog?userId=user8,7,0,0
